Set Number;Average Direction;Average Speed
0;3180;397
1;3072;370
2;2447;421
3;2791;422
4;2839;415
5;2493;434
6;2370;429
7;2585;449
8;2460;434
9;2721;449
10;2621;471
11;2722;461
12;2515;452
13;2599;462
14;2802;490
15;2778;518
16;2753;502
17;2745;455
18;2806;502
19;2683;470
20;2848;514
21;2864;516
22;2677;539
23;2789;561
24;2848;594
25;2854;548
26;2935;521
27;2896;566
28;2913;578
29;2871;572
30;2846;550
31;2887;522
32;3001;501
33;2933;559
34;2829;610
35;2846;576
36;2939;587
37;2839;521
38;2933;534
39;2809;571
40;2916;556
41;2772;496
42;2887;567
43;2903;504
44;2701;502
45;2880;546
46;2740;527
47;2859;510
48;3032;451
49;2868;469
50;3008;434
51;2887;494
52;2894;486
53;3025;421
54;3077;430
55;2940;469
56;2921;461
57;2915;488
58;2918;426
59;2836;455
60;2840;446
61;2964;389
62;3038;401
63;3069;387
64;3039;438
65;3051;395
66;3126;370
67;3131;391
68;3077;414
69;3150;367
70;3056;347
71;3033;378
72;2852;383
73;2811;425
74;2895;419
75;2848;402
76;2912;403
77;2814;396
78;2461;415
79;2757;411
80;2564;431
81;2952;372
82;2388;358
83;2760;384
84;2029;432
85;2904;376
86;2678;392
87;2730;362
88;2597;415
89;2580;410
90;2363;497
91;2727;414
92;2291;458
93;2697;390
94;2273;400
95;2580;464
96;2502;457
97;2588;438
98;2291;463
99;2702;515
100;2788;497
101;2768;428
102;2621;456
103;2534;526
104;2603;483
105;2702;492
106;2723;453
107;2879;467
108;2892;522
109;2871;476
110;2843;500
111;2849;489
112;2842;532
113;2895;505
114;2724;542
115;2728;513
116;2593;502
117;2839;550
118;2758;530
119;2911;592
120;2787;546
121;2811;579
122;2810;545
123;3005;507
124;2654;558
125;2761;502
126;2798;455
127;3002;449
128;3047;437
129;2961;481
130;2978;485
131;2969;502
132;2614;514
133;2780;454
134;2876;487
135;2898;485
136;2863;481
137;2879;482
138;2755;497
139;2787;511
140;2693;514
141;2696;509
142;2651;506
143;2737;500
144;2655;498
145;2659;514
146;2865;491
147;2872;543
148;2845;456
149;2762;478
150;2853;432
151;2833;493
152;2801;474
153;2587;531
154;2646;512
155;2783;522
156;2735;485
157;2795;527
158;2357;573
159;2686;471
160;2636;499
161;2635;592
162;2768;481
163;2561;555
164;2598;484
165;2484;544
166;2353;547
167;2486;495
168;2421;547
169;2394;588
170;2381;547
171;2666;525
172;2334;580
173;2402;561
174;2263;452
175;2516;508
176;2509;525
177;2749;614
178;2754;583
179;2883;593
180;2371;557
181;2769;534
182;2706;504
183;2451;553
184;2856;537
185;2621;529
186;2753;534
187;2710;542
188;2789;521
189;2784;604
190;2699;541
191;2725;526
192;2787;538
193;2780;548
194;3031;545
195;2904;571
196;2953;539
197;2899;564
198;2849;577
199;2954;521
200;2939;522
201;2883;639
202;2760;562
203;2773;621
204;2884;524
205;2862;548
206;2939;572
207;2708;611
208;2862;557
209;2902;536
210;2807;557
211;2788;569
212;2787;573
213;2767;533
214;2727;492
215;2731;526
216;2719;532
217;2767;564
218;2947;540
219;2871;582
220;2964;442
221;2687;489
222;2686;566
223;2952;565
224;2859;552
225;2868;566
226;3014;521
227;2934;558
228;2751;560
229;2884;605
230;2771;540
231;2938;512
232;2761;508
233;2756;526
234;2823;526
235;2658;503
236;2636;479
237;2806;482
238;2982;466
239;2698;423
240;2799;498
241;2687;453
242;3115;415
243;3035;473
244;2697;433
245;2696;455
246;2870;432
247;3019;452
248;3133;409
249;2522;446
250;2452;461
251;2538;475
252;2650;465
253;2943;490
254;3044;456
255;2929;466
256;2522;459
257;2615;455
258;2653;470
259;2893;447
260;3047;424
261;3062;417
262;3144;402
263;3072;418
264;3159;390
265;3139;374
266;3256;369
267;3360;360
268;3240;377
269;3258;358
270;3300;369
271;3277;373
272;3278;380
273;3231;369
274;3262;357
275;3261;349
276;3261;352
277;3261;350
278;3261;338
279;3261;368
280;3262;360
281;3261;341
282;3261;339
283;3260;327
284;3260;335
285;3260;344
286;3260;355
287;3261;364
288;3260;313
289;3345;314
290;3344;313
291;3344;356
292;3341;324
293;3339;346
294;2915;368
295;3223;323
296;3318;339
297;3268;345
298;3374;341
299;2455;412
300;3023;347
301;3456;357
302;1125;320
303;4095;330
304;311;371
305;441;341
306;0;343
307;0;321
308;378;375
309;3480;352
310;3021;345
311;2412;411
312;1920;338
313;3440;325
314;1301;370
315;2888;464
316;2449;446
317;2160;351
318;1517;367
319;1158;387
320;3635;413
321;1877;458
322;2889;353
323;2379;416
324;3574;380
325;78;384
326;56;405
327;0;414
328;59;424
329;136;449
330;162;418
331;183;404
332;2771;367
333;3438;382
334;0;371
335;4094;355
336;0;316
337;0;396
338;2833;374
339;3095;353
340;11;387
