readings:
44;-216;-182;4142;3255;404
54;-206;-194;4098;3253;336
64;-220;-208;4108;3263;359
74;-210;-232;4108;3255;361
84;-216;-206;4094;3253;394
94;-218;-202;4114;3255;365
104;-212;-206;4110;3253;384
114;-212;-196;4116;3263;384
124;-218;-184;4104;3251;366
134;-222;-168;4124;3251;368
144;-212;-156;4130;3261;346
154;-230;-180;4110;3255;394
164;-214;-184;4110;3255;354
174;-226;-190;4114;3263;353
184;-232;-180;4114;3253;353
194;-226;-166;4136;3250;384
204;-228;-190;4122;3259;388
214;-236;-190;4100;3255;349
224;-236;-188;4110;3255;359
234;-226;-190;4118;3248;370
244;-216;-214;4116;3259;374
254;-224;-194;4124;3251;340
264;-218;-200;4102;3255;352
274;-224;-208;4092;3261;384
284;-230;-204;4110;3249;378
294;-230;-204;4120;3251;362
304;-208;-206;4116;3251;368
314;-224;-180;4112;3253;368
324;-220;-198;4126;3255;354
334;-220;-204;4148;3253;369
344;-230;-194;4126;3254;384
354;-202;-172;4098;3249;368
364;-228;-192;4144;3255;384
374;-212;-184;4094;3255;366
384;-216;-196;4116;3251;368
394;-218;-162;4108;3259;352
404;-220;-172;4104;3255;373
414;-216;-184;4102;3253;346
424;-222;-182;4102;3255;378
434;-218;-192;4106;3263;374
444;-234;-190;4146;3263;370
454;-220;-178;4130;3259;368
464;-232;-172;4106;3261;363
474;-230;-186;4114;3255;386
484;-226;-182;4116;3249;362
494;-226;-190;4102;3262;364
504;-226;-184;4122;3251;342
514;-214;-182;4104;3261;363
524;-214;-202;4110;3255;378
534;-232;-214;4096;3263;356
544;-212;-194;4116;3255;368
554;-226;-192;4124;3263;348
564;-224;-184;4104;3259;338
574;-238;-198;4104;3262;368
584;-218;-204;4104;3255;350
594;-226;-174;4136;3259;384
604;-230;-192;4098;3255;368
614;-222;-172;4100;3263;368
624;-234;-172;4142;3255;362
634;-222;-186;4094;3259;370
644;-218;-172;4090;3259;386
654;-220;-188;4106;3246;352
664;-216;-174;4136;3251;360
674;-218;-182;4116;3267;384
684;-218;-180;4114;3254;368
694;-216;-176;4102;3259;344
704;-218;-184;4118;3261;377
714;-218;-188;4108;3261;352
724;-224;-194;4096;3263;380
734;-222;-186;4116;3263;355
744;-222;-196;4104;3255;352
754;-212;-180;4144;3259;384
764;-210;-172;4104;3251;370
774;-228;-198;4116;3259;366
784;-220;-192;4108;3251;376
794;-224;-170;4114;3261;365
804;-206;-178;4120;3255;394
814;-202;-188;4114;3255;358
824;-218;-184;4120;3263;324
834;-226;-198;4122;3259;346
844;-214;-180;4124;3257;385
854;-222;-180;4098;3263;340
864;-224;-204;4114;3255;352
874;-212;-192;4100;3255;332
884;-216;-192;4088;3255;378
894;-228;-190;4104;3255;364
904;-218;-202;4102;3258;342
914;-226;-202;4100;3267;384
924;-226;-208;4136;3263;347
934;-218;-212;4146;3267;368
944;-208;-192;4122;3263;368
954;-218;-194;4140;3255;360
